road_id;point_id;longitude;latitude
18864004[D20b (KFZ2)];453552;8.688559;50.112625
18864004[D20b (KFZ2)];45355E;8.688111;50.112602
17375031[D7];105719S;8.671092;50.09658
17375031[D7];105719E;8.671051;50.097164
18392001[D1 (KFZ1)];106828S;8.669099;50.106155
18392001[D1 (KFZ1)];106828E;8.667111;50.105
17388002[DET 2 (2)];109938S;8.636362;50.088478
17388002[DET 2 (2)];109938E;8.636245;50.088818
18885007[D7 (KFZ5)];106280S;8.665841;50.131443
18885007[D7 (KFZ5)];1062801;8.667931;50.13152
18885007[D7 (KFZ5)];1062802;8.668254;50.13154
18885007[D7 (KFZ5)];106280E;8.66846;50.131573
17390002[D1a];105764S;8.632229;50.08828
17390002[D1a];1057641;8.631934;50.0883
17390002[D1a];1057642;8.631612;50.088303
17390002[D1a];1057643;8.630622;50.088173
17390002[D1a];105764E;8.628917;50.08797
18457006[D6 (KFZ3)];106584S;8.686109;50.105705
18457006[D6 (KFZ3)];1065841;8.6863165;50.105835
18457006[D6 (KFZ3)];106584E;8.686711;50.10607
15436002[D2];105228S;8.665556;50.108746
15436002[D2];1052281;8.664847;50.10848
15436002[D2];1052282;8.66459;50.108376
15436002[D2];105228E;8.664021;50.108166
17451004[D4 (2)];105971S;8.629765;50.084545
17451004[D4 (2)];1059711;8.6292925;50.084545
17451004[D4 (2)];105971E;8.62918;50.084545
17451005[D5 (4)];105972S;8.62925;50.084217
17451005[D5 (4)];1059721;8.629191;50.08449
17451005[D5 (4)];105972E;8.62918;50.084545
17390006[D4];105764S;8.632229;50.08828
17390006[D4];1057641;8.631934;50.0883
17390006[D4];1057642;8.631612;50.088303
17390006[D4];1057643;8.630622;50.088173
17390006[D4];105764E;8.628917;50.08797
18384015[D7b (KFZ7)];106650S;8.687624;50.11798
18384015[D7b (KFZ7)];1066501;8.687778;50.117958
18384015[D7b (KFZ7)];106650E;8.688156;50.117825
15433016[D24];105200S;8.660549;50.10937
15433016[D24];1052001;8.660883;50.109222
15433016[D24];105200E;8.661974;50.108753
15433017[D25];105200S;8.660549;50.10937
15433017[D25];1052001;8.660883;50.109222
15433017[D25];105200E;8.661974;50.108753
18828002[D2 (KFZ1)];106614S;8.688062;50.11029
18828002[D2 (KFZ1)];1066141;8.68808;50.110413
18828002[D2 (KFZ1)];1066142;8.688163;50.110874
18828002[D2 (KFZ1)];106614E;8.6882;50.111404
18864002[D10b (KFZ1)];60858S;8.685888;50.11239
18864002[D10b (KFZ1)];608581;8.686391;50.112442
18864002[D10b (KFZ1)];608582;8.687503;50.112476
18864002[D10b (KFZ1)];608583;8.687706;50.112484
18864002[D10b (KFZ1)];60858E;8.687943;50.1125
18864011[D50 (KFZ5)];60858S;8.685888;50.11239
18864011[D50 (KFZ5)];608581;8.686391;50.112442
18864011[D50 (KFZ5)];608582;8.687503;50.112476
18864011[D50 (KFZ5)];608583;8.687706;50.112484
18864011[D50 (KFZ5)];60858E;8.687943;50.1125
17399004[D4];105795S;8.647803;50.08517
17399004[D4];1057951;8.648048;50.085297
17399004[D4];1057952;8.64842;50.085476
17399004[D4];1057953;8.6488285;50.08566
17399004[D4];1057954;8.649141;50.085785
17399004[D4];105795E;8.649331;50.085846
220162580[T258 FR Ost];106916S;8.723471;50.105183
220162580[T258 FR Ost];1069161;8.723889;50.105267
220162580[T258 FR Ost];1069162;8.7243395;50.10537
220162580[T258 FR Ost];1069163;8.724828;50.10555
220162580[T258 FR Ost];1069164;8.725201;50.1057
220162580[T258 FR Ost];1069165;8.726362;50.1063
220162580[T258 FR Ost];1069166;8.726766;50.10649
220162580[T258 FR Ost];1069167;8.7272;50.106644
220162580[T258 FR Ost];1069168;8.727704;50.106773
220162580[T258 FR Ost];1069169;8.728255;50.106865
220162580[T258 FR Ost];10691610;8.728892;50.106895
220162580[T258 FR Ost];106916E;8.729584;50.106888
17451001[D1 (1)];105670S;8.629137;50.084793
17451001[D1 (1)];1056701;8.62917;50.0846
17451001[D1 (1)];105670E;8.62918;50.084545
220162570[T257 FR Ost];106916S;8.723471;50.105183
220162570[T257 FR Ost];1069161;8.723889;50.105267
220162570[T257 FR Ost];1069162;8.7243395;50.10537
220162570[T257 FR Ost];1069163;8.724828;50.10555
220162570[T257 FR Ost];1069164;8.725201;50.1057
220162570[T257 FR Ost];1069165;8.726362;50.1063
220162570[T257 FR Ost];1069166;8.726766;50.10649
220162570[T257 FR Ost];1069167;8.7272;50.106644
220162570[T257 FR Ost];1069168;8.727704;50.106773
220162570[T257 FR Ost];1069169;8.728255;50.106865
220162570[T257 FR Ost];10691610;8.728892;50.106895
220162570[T257 FR Ost];106916E;8.729584;50.106888
17451007[D7 (5)];105969S;8.628673;50.084503
17451007[D7 (5)];1059691;8.628973;50.084526
17451007[D7 (5)];105969E;8.62918;50.084545
220172410[T241 FR West];106915S;8.729583;50.10702
220172410[T241 FR West];1069151;8.72904;50.107018
220172410[T241 FR West];1069152;8.728581;50.107006
220172410[T241 FR West];1069153;8.728169;50.10697
220172410[T241 FR West];1069154;8.727795;50.106915
220172410[T241 FR West];1069155;8.727345;50.10681
220172410[T241 FR West];1069156;8.726853;50.106655
220172410[T241 FR West];1069157;8.726418;50.106472
220172410[T241 FR West];1069158;8.725972;50.106247
220172410[T241 FR West];1069159;8.725385;50.10594
220172410[T241 FR West];10691510;8.724936;50.10572
220172410[T241 FR West];10691511;8.724478;50.10554
220172410[T241 FR West];10691512;8.723945;50.105392
220172410[T241 FR West];10691513;8.723533;50.105316
220172410[T241 FR West];10691514;8.723268;50.10528
220172410[T241 FR West];106915E;8.721636;50.105194
18178006[D30a];61058S;8.687942;50.110405
18178006[D30a];610581;8.687912;50.110172
