point_id;road_id
1069157;220172410[T241 FR West]
1069158;220172410[T241 FR West]
1069159;220172410[T241 FR West]
10691510;220172410[T241 FR West]
10691511;220172410[T241 FR West]
10691512;220172410[T241 FR West]
10691513;220172410[T241 FR West]
10691514;220172410[T241 FR West]
106915E;220172410[T241 FR West]
61058S;18178006[D30a]
610581;18178006[D30a]
610582;18178006[D30a]
61058E;18178006[D30a]
67857S;18888004[D4 (KFZ2)]
678571;18888004[D4 (KFZ2)]
678572;18888004[D4 (KFZ2)]
67857E;18888004[D4 (KFZ2)]
61879S;18384017[D11a (KFZ11)]
618791;18384017[D11a (KFZ11)]
618792;18384017[D11a (KFZ11)]
61879E;18384017[D11a (KFZ11)]
67858S;18888002[D2 (KFZ1)]
678581;18888002[D2 (KFZ1)]
678582;18888002[D2 (KFZ1)]
678583;18888002[D2 (KFZ1)]
67858E;18888002[D2 (KFZ1)]
61880S;18384003[D20a (KFZ2)]
618801;18384003[D20a (KFZ2)]
618802;18384003[D20a (KFZ2)]
618803;18384003[D20a (KFZ2)]
61880E;18384003[D20a (KFZ2)]
106280S;18885009[D9 (KFZ3)]
1062801;18885009[D9 (KFZ3)]
1062802;18885009[D9 (KFZ3)]
106280E;18885009[D9 (KFZ3)]
61785S;18179006[D30a (Video)]
617851;18179006[D30a (Video)]
617852;18179006[D30a (Video)]
617853;18179006[D30a (Video)]
617854;18179006[D30a (Video)]
617855;18179006[D30a (Video)]
617856;18179006[D30a (Video)]
617857;18179006[D30a (Video)]
617858;18179006[D30a (Video)]
617859;18179006[D30a (Video)]
61785E;18179006[D30a (Video)]
41768S;18367009[D30b (KFZ3)]
417681;18367009[D30b (KFZ3)]
417682;18367009[D30b (KFZ3)]
41768E;18367009[D30b (KFZ3)]
61042S;18864012[D7 (KFZ7)]
610421;18864012[D7 (KFZ7)]
610422;18864012[D7 (KFZ7)]
61042E;18864012[D7 (KFZ7)]
106280S;18885008[D8 (KFZ5)]
1062801;18885008[D8 (KFZ5)]
1062802;18885008[D8 (KFZ5)]
106280E;18885008[D8 (KFZ5)]
62079S;19110011[D20b (KFZ2)]
620791;19110011[D20b (KFZ2)]
62079E;19110011[D20b (KFZ2)]
31202S;18361006[D4 (KFZ4)]
31202E;18361006[D4 (KFZ4)]
61318S;17377003[D3]
613181;17377003[D3]
613182;17377003[D3]
61318E;17377003[D3]
109521S;17790005[D5 (KFZ5)]
1095211;17790005[D5 (KFZ5)]
1095212;17790005[D5 (KFZ5)]
1095213;17790005[D5 (KFZ5)]
109521E;17790005[D5 (KFZ5)]
65242S;18299001[D1 (KFZ1)]
652421;18299001[D1 (KFZ1)]
652422;18299001[D1 (KFZ1)]
65242E;18299001[D1 (KFZ1)]
61058S;18178001[D1]
610581;18178001[D1]
610582;18178001[D1]
61058E;18178001[D1]
61786S;18178008[D40a (Video)]
617861;18178008[D40a (Video)]
617862;18178008[D40a (Video)]
617863;18178008[D40a (Video)]
617864;18178008[D40a (Video)]
617865;18178008[D40a (Video)]
617866;18178008[D40a (Video)]
617867;18178008[D40a (Video)]
617868;18178008[D40a (Video)]
617869;18178008[D40a (Video)]
61786E;18178008[D40a (Video)]
61960S;18299006[D6 (KFZ2)]
619601;18299006[D6 (KFZ2)]
619602;18299006[D6 (KFZ2)]
61960E;18299006[D6 (KFZ2)]
61960S;18299005[D5 (KFZ2)]
619601;18299005[D5 (KFZ2)]
619602;18299005[D5 (KFZ2)]
61960E;18299005[D5 (KFZ2)]
74755S;17378005[D5]
747551;17378005[D5]
747552;17378005[D5]
74755E;17378005[D5]
61880S;18383003[D20a (KFZ2)]
618801;18383003[D20a (KFZ2)]
618802;18383003[D20a (KFZ2)]
618803;18383003[D20a (KFZ2)]
61880E;18383003[D20a (KFZ2)]
106664S;18384002[D10b (KFZ1)]
1066641;18384002[D10b (KFZ1)]
1066642;18384002[D10b (KFZ1)]
106664E;18384002[D10b (KFZ1)]
74756S;18458001[D1 (KFZ1)]
74756E;18458001[D1 (KFZ1)]
66560S;17397004[D4]
66560E;17397004[D4]
61946S;18885011[D11 (KFZ6)]
619461;18885011[D11 (KFZ6)]
619462;18885011[D11 (KFZ6)]
619463;18885011[D11 (KFZ6)]
619464;18885011[D11 (KFZ6)]
61946E;18885011[D11 (KFZ6)]
106311S;18890008[D30b (KFZ3)]
106311E;18890008[D30b (KFZ3)]
110228S;18350010[D10 (KFZ7)]
110228E;18350010[D10 (KFZ7)]
61962S;18299002[D2 (KFZ3)]
619621;18299002[D2 (KFZ3)]
61962E;18299002[D2 (KFZ3)]
61962S;18299003[D3 (KFZ3)]
619621;18299003[D3 (KFZ3)]
61962E;18299003[D3 (KFZ3)]
73034S;18384010[D30b (KFZ3)]
73034E;18384010[D30b (KFZ3)]
37762S;17386021[gs21]
377621;17386021[gs21]
377622;17386021[gs21]
377623;17386021[gs21]
37762E;17386021[gs21]
74009S;18372002[D2 (KFZ1)]
740091;18372002[D2 (KFZ1)]
740092;18372002[D2 (KFZ1)]
740093;18372002[D2 (KFZ1)]
740094;18372002[D2 (KFZ1)]
740095;18372002[D2 (KFZ1)]
740096;18372002[D2 (KFZ1)]
74009E;18372002[D2 (KFZ1)]
106280S;18885010[D10 (KFZ3)]
1062801;18885010[D10 (KFZ3)]
1062802;18885010[D10 (KFZ3)]
106280E;18885010[D10 (KFZ3)]
62079S;19110010[D20a (KFZ2)]
620791;19110010[D20a (KFZ2)]
62079E;19110010[D20a (KFZ2)]
62079S;18371004[D20b]
620791;18371004[D20b]
62079E;18371004[D20b]
61058S;18178007[D30b]
610581;18178007[D30b]
610582;18178007[D30b]
61058E;18178007[D30b]
61927S;18304025[D25]
619271;18304025[D25]
619272;18304025[D25]
61927E;18304025[D25]
74756S;18458002[D2 (KFZ1)]
74756E;18458002[D2 (KFZ1)]
61963S;18302003[D3 (KFZ3)]
619631;18302003[D3 (KFZ3)]
619632;18302003[D3 (KFZ3)]
61963E;18302003[D3 (KFZ3)]
74416S;14029001[D10a (KFZ1)]
744161;14029001[D10a (KFZ1)]
744162;14029001[D10a (KFZ1)]
74416E;14029001[D10a (KFZ1)]
74416S;14029003[D10c (KFZ1)]
744161;14029003[D10c (KFZ1)]
744162;14029003[D10c (KFZ1)]
