point_id;road;suburb;city_district;city;state_district;state;postcode;country
619562;Eschersheimer Landstraße;Westend Nord;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60322;Deutschland
61956E;Eschersheimer Landstraße;Westend Nord;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60322;Deutschland
109259S;Fritz-Reuter-Straße;Dornbusch;Dornbusch;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60320;Deutschland
1092591;Eschersheimer Landstraße;Dornbusch;Dornbusch;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60320;Deutschland
1092592;Eschersheimer Landstraße;Dornbusch;Dornbusch;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60320;Deutschland
1092593;Eschersheimer Landstraße;Dornbusch;Dornbusch;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60320;Deutschland
1092594;Eschersheimer Landstraße;Dornbusch;Dornbusch;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60320;Deutschland
1092595;Eschersheimer Landstraße;Dornbusch;Dornbusch;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60320;Deutschland
1092596;Eschersheimer Landstraße;Dornbusch;Dornbusch;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60320;Deutschland
109259E;Eschersheimer Landstraße;Dornbusch;Dornbusch;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60320;Deutschland
105937S;Lyoner Straße;Niederrad;Niederrad;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60528;Deutschland
1059371;Adolf-Miersch-Straße;Niederrad;Niederrad;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60528;Deutschland
105937E;Adolf-Miersch-Straße;Niederrad;Niederrad;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60528;Deutschland
109367S;Hügelstraße;Dornbusch;Dornbusch;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60433;Deutschland
1093671;Hügelstraße;Eschersheim;Eschersheim;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60433;Deutschland
109367E;Hügelstraße;Dornbusch;Dornbusch;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60431;Deutschland
74427S;Windmühlstraße;Bahnhofsviertel;Bahnhofsviertel;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60329;Deutschland
744271;Windmühlstraße;Bahnhofsviertel;Bahnhofsviertel;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60329;Deutschland
74427E;Wilhelm-Leuschner-Straße;Bahnhofsviertel;Bahnhofsviertel;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60329;Deutschland
